# ae044b34-3f42-4cce-8aab-c34df34565ed
# 8c2cec4c57832ff121917315709ba66d2c4a73be
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
105.0784968; 141.5840670; 4.2292830; 6.0499170; -0.7790824; 0.6269215; 0.1761881; 0.0000000; 2.4608002; 0.0016345; 42.7057036; 3.6617871
103.2030922; 139.2439689; 4.4181048; 5.8325508; -0.7815506; 0.6238418; 0.1845392; 2.9995929; 2.4670664; 0.0015011; 43.0460536; 3.6192433
101.3368582; 136.8968239; 4.6121144; 5.6202879; -0.7838941; 0.6208945; 0.1906515; 5.9989608; 2.4699996; 0.0014345; 43.2137503; 3.5982812
99.4793627; 134.5429648; 4.8238659; 5.4088035; -0.7861143; 0.6180812; 0.1948812; 8.9981466; 2.4754675; 0.0013017; 43.5443297; 3.5569588
97.6301731; 132.1827247; 5.0516170; 5.1944708; -0.7882125; 0.6154032; 0.1975817; 11.9971894; 2.4780025; 0.0012353; 43.7072670; 3.5365916
95.7888573; 129.8164362; 5.2730045; 4.9910721; -0.7901902; 0.6128616; 0.1991036; 14.9961238; 2.4826753; 0.0011029; 44.0285684; 3.4950005
93.9549829; 127.4444324; 5.4091112; 4.7880093; -0.7920487; 0.6104578; 0.1997961; 17.9949803; 2.4848133; 0.0010368; 44.1869182; 3.4672893
92.1281175; 125.0670460; 5.5479108; 4.6050252; -0.7937893; 0.6081929; 0.2000000; 20.9937858; 2.4887076; 0.0009168; 44.4982085; 3.4128135
90.3078288; 122.6846099; 5.7761420; 4.4136411; -0.7954131; 0.6060677; 0.2000000; 23.9925632; 2.4904896; 0.0008666; 44.6512148; 3.3860374
88.4936845; 120.2974570; 5.9544047; 4.2494588; -0.7969212; 0.6040832; 0.1999388; 26.9913316; 2.4937849; 0.0007829; 44.9521075; 3.3333812
86.6852523; 117.9059201; 6.1254651; 4.0833803; -0.7983148; 0.6022404; 0.1998547; 29.9901063; 2.4953086; 0.0007420; 45.1000544; 3.3074905
84.8820998; 115.5103321; 6.3360750; 3.9193782; -0.7995948; 0.6005398; 0.1997564; 32.9888985; 2.4981107; 0.0006602; 45.3910949; 3.2565584
83.0837947; 113.1110259; 6.6218310; 3.7479220; -0.8007622; 0.5989824; 0.1996496; 35.9877158; 2.4993892; 0.0006193; 45.5342442; 3.2315073
81.2899046; 110.7083344; 6.9404947; 3.5757819; -0.8018177; 0.5975687; 0.1995401; 38.9865627; 2.5017011; 0.0005375; 45.8159349; 3.1822114
79.4999973; 108.3025903; 7.2279072; 3.4114255; -0.8027623; 0.5962992; 0.1994338; 41.9854404; 2.5027345; 0.0004966; 45.9545279; 3.1579576
77.7136405; 105.8941266; 7.4586299; 3.2474370; -0.8035965; 0.5951745; 0.1993370; 44.9843476; 2.5045559; 0.0004148; 46.2273332; 3.1102167
75.9304017; 103.4832761; 7.6303471; 3.0787876; -0.8043210; 0.5941950; 0.1992560; 47.9832804; 2.5053439; 0.0003738; 46.3615933; 3.0867212
74.1498487; 101.0703717; 7.7481584; 2.9230316; -0.8049364; 0.5933611; 0.1991977; 50.9822328; 2.5066744; 0.0002919; 46.6259432; 3.0404599
72.3715491; 98.6557463; 7.8257076; 2.7800090; -0.8054431; 0.5926731; 0.1991691; 53.9811971; 2.5072168; 0.0002510; 46.7560773; 3.0176865
70.5950705; 96.2397327; 7.8913049; 2.6434540; -0.8058415; 0.5921313; 0.1991775; 56.9801638; 2.5080561; 0.0001690; 47.0123708; 2.9728351
68.8199808; 93.8226637; 7.9812916; 2.5147787; -0.8061319; 0.5917359; 0.1992305; 59.9791224; 2.5083529; 0.0001281; 47.1385714; 2.9507500
67.0458475; 91.4048723; 8.1197101; 2.3941203; -0.8063147; 0.5914868; 0.1993357; 62.9780611; 2.5087004; 0.0000461; 47.3871797; 2.9072436
65.2722383; 88.9866913; 8.2835982; 2.2897846; -0.8063892; 0.5913853; 0.1995011; 65.9769675; 2.5087522; 0.0000058; 47.5096258; 2.8858155
63.4987209; 86.5684536; 8.4430708; 2.2033807; -0.8063585; 0.5914271; 0.1997344; 68.9758299; 2.5086090; -0.0000660; 47.7508948; 2.8435934
61.7248629; 84.1504920; 8.5828564; 2.1407534; -0.8062112; 0.5916279; 0.2000000; 71.9746317; 2.5084647; -0.0000783; 47.8697535; 2.8227931
59.9502761; 81.7331070; 8.6823429; 2.1036882; -0.8060224; 0.5918850; 0.2000000; 74.9733857; 2.5081832; -0.0000535; 48.1040061; 2.7843991
58.1751084; 79.3162044; 8.7336226; 2.0862154; -0.8059289; 0.5920124; 0.1998069; 77.9721270; 2.5081070; -0.0000228; 48.2195413; 2.7670688
56.3998650; 76.8994272; 8.7346524; 2.0847216; -0.8059654; 0.5919627; 0.1996389; 80.9708558; 2.5082081; 0.0000729; 48.4476468; 2.7328530
54.6250577; 74.4824136; 8.6752009; 2.0959236; -0.8061238; 0.5917469; 0.1995126; 83.9695583; 2.5084002; 0.0001193; 48.5602432; 2.7159635
52.8511982; 72.0648017; 8.5481029; 2.1210606; -0.8064063; 0.5913618; 0.1994231; 86.9682241; 2.5090643; 0.0002130; 48.7825865; 2.6826120
51.0787983; 69.6462296; 8.3769884; 2.1565842; -0.8068120; 0.5908082; 0.1993659; 89.9668427; 2.5095367; 0.0002597; 48.8923581; 2.6661463
49.3083697; 67.2263354; 8.1756602; 2.2057662; -0.8073408; 0.5900855; 0.1993368; 92.9654050; 2.5107617; 0.0003532; 49.1091607; 2.6336259
47.5404242; 64.8047574; 7.9776493; 2.2706104; -0.8079920; 0.5891934; 0.1993321; 95.9639034; 2.5115142; 0.0003999; 49.2162149; 2.6175678
45.7754735; 62.3811336; 7.8319097; 2.3494245; -0.8087653; 0.5881315; 0.1993488; 98.9623321; 2.5132993; 0.0004933; 49.4276854; 2.5858472
44.0140295; 59.9551023; 7.7752728; 2.4449936; -0.8096600; 0.5868992; 0.1993841; 101.9606876; 2.5143318; 0.0005400; 49.5321236; 2.5701815
42.2566038; 57.5263014; 7.7648472; 2.5580001; -0.8106753; 0.5854960; 0.1994359; 104.9589691; 2.5166764; 0.0006332; 49.7384589; 2.5392312
