# 06b078a2-dc0e-4333-a9bf-249f295d642f
# 2bb9d6049f52c3244f3f2043f9b2539bac590943
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-68.8525854; 0.5072726; 5.9358998; 5.9808002; -0.8364492; -0.5480444; -3.1739389; 0.0000000; -2.5714928; 0.0001935; 40.7641047; 4.4002255
-67.2105261; -1.9993383; 5.9686018; 6.0023817; -0.8365371; -0.5479103; -3.1453303; 2.9972173; -2.5710911; 0.0002083; 40.9793730; 4.3657438
-65.5688450; -4.5063065; 5.9947668; 6.0162192; -0.8366365; -0.5477585; -3.1191813; 5.9945656; -2.5701877; 0.0002454; 41.4015749; 4.2979173
-63.9276045; -7.0136524; 6.0103389; 6.0205582; -0.8367475; -0.5475889; -3.0958248; 8.9920269; -2.5696712; 0.0002712; 41.6086295; 4.2645582
-62.2868670; -9.5213966; 6.0262771; 6.0227793; -0.8368700; -0.5474017; -3.0756743; 11.9895838; -2.5684677; 0.0003335; 42.0149325; 4.1989142
-60.6466949; -12.0295598; 6.0404269; 6.0176188; -0.8370041; -0.5471966; -3.0592408; 14.9872200; -2.5677591; 0.0003753; 42.2142899; 4.1666163
-59.0071505; -14.5381626; 6.0550746; 6.0085552; -0.8371497; -0.5469738; -3.0471561; 17.9849212; -2.5660665; 0.0004752; 42.6056756; 4.1030376
-57.3682963; -17.0472255; 6.0575218; 6.0090410; -0.8373069; -0.5467332; -3.0401963; 20.9826758; -2.5650512; 0.0005403; 42.7978025; 4.0717450
-55.7301946; -19.5567691; 6.0476805; 6.0131116; -0.8374755; -0.5464748; -3.0393057; 23.9804771; -2.5625985; 0.0006916; 43.1751592; 4.0101249
-54.0929078; -22.0668141; 6.0358765; 6.0233550; -0.8376557; -0.5461987; -3.0456138; 26.9783249; -2.5611221; 0.0007851; 43.3604787; 3.9797866
