# 3ab411cd-b91d-41eb-b445-3bab87d066ff
# 2bb9d6049f52c3244f3f2043f9b2539bac590943
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
32.5718718; 25.2448914; 2.5355838; 2.0436162; -0.0211047; -0.9997773; 0.0928860; 0.0000000; -1.7164134; 0.0358680; 13.4927453; 5.8659705
35.6026436; 25.3044235; 2.1997494; 2.3751875; 0.0568995; -0.9983799; 0.4350757; 3.0718888; -1.5815576; 0.0302216; 15.1257136; 5.8315653
38.6014825; 25.5648516; 2.1312267; 2.5321788; 0.1122595; -0.9936789; 0.6812267; 6.1234509; -1.5272517; 0.0242776; 15.8761092; 5.8144384
41.5773791; 25.9558107; 2.3089493; 2.5378245; 0.1444316; -0.9895148; 0.8369679; 9.1537180; -1.4507466; 0.0140778; 17.2734865; 5.7803355
44.5393242; 26.4069355; 2.4557595; 2.4404201; 0.1524914; -0.9883048; 0.9063385; 12.1577499; -1.4278588; 0.0088662; 17.9285415; 5.7633591
47.4962612; 26.8483266; 2.3387129; 2.3367692; 0.1402145; -0.9901212; 0.8887115; 15.1364183; -1.4082635; 0.0021833; 19.1663286; 5.7295558
50.4540466; 27.2404808; 2.3777022; 2.2600473; 0.1238566; -0.9923001; 0.7935540; 18.1076764; -1.4043906; 0.0016978; 19.7536032; 5.7127285
53.4136027; 27.5924830; 2.3557561; 2.2276919; 0.1129573; -0.9935998; 0.6461873; 21.0837962; -1.4037065; -0.0012125; 20.8738360; 5.6792221
56.3754094; 27.9177749; 2.3125948; 2.2017432; 0.1061419; -0.9943510; 0.4774231; 24.0642806; -1.4070963; -0.0021848; 21.4096456; 5.6625427
59.3399466; 28.2297981; 2.2937149; 2.1992360; 0.1040124; -0.9945760; 0.3134546; 27.0487941; -1.4172063; -0.0028525; 22.4384780; 5.6293307
62.3076319; 28.5414248; 2.3025703; 2.2093711; 0.1051271; -0.9944588; 0.1727642; 30.0363733; -1.4232307; -0.0031877; 22.9334289; 5.6127978
65.2780952; 28.8583242; 2.2947884; 2.2286931; 0.1070208; -0.9942568; 0.0652453; 33.0258668; -1.4366776; -0.0034325; 23.8884537; 5.5798775
68.2504258; 29.1812242; 2.2386696; 2.2628700; 0.1090330; -0.9940381; -0.0060578; 36.0166059; -1.4433871; -0.0032949; 24.3499036; 5.5634898
71.2237026; 29.5107562; 2.1942290; 2.2916474; 0.1113163; -0.9937850; -0.0416376; 39.0082552; -1.4557097; -0.0028569; 25.2436336; 5.5308588
74.1970043; 29.8475514; 2.2064938; 2.3106318; 0.1138318; -0.9935000; -0.0435007; 42.0004724; -1.4611374; -0.0025855; 25.6769366; 5.5146151
77.1694099; 30.1922413; 2.2331345; 2.3200954; 0.1165905; -0.9931801; -0.0144807; 44.9928637; -1.4702397; -0.0019674; 26.5186525; 5.4822706
