# 0953d8f1-e7b9-4d44-8ca6-2e6ada0985f4
# 8c2cec4c57832ff121917315709ba66d2c4a73be
# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-1.3090758; -48.5608735; 11.9307488; 2.5282512; 0.5538939; 0.8325873; 0.1980089; 0.0000000; 0.9840336; 0.0000041; 53.8342333; 1.8790092
-3.8056650; -46.8998642; 11.9309799; 2.5330253; 0.5539434; 0.8325544; 0.1970878; 2.9986397; 0.9840503; 0.0000043; 53.9731161; 1.8547047
-6.3021618; -45.2387062; 11.9295600; 2.5284436; 0.5539912; 0.8325225; 0.1959535; 5.9972854; 0.9840589; 0.0000044; 54.0417503; 1.8426937
-8.7985691; -43.5774042; 11.9313186; 2.5166925; 0.5540374; 0.8324918; 0.1946106; 8.9959369; 0.9840767; 0.0000045; 54.1774323; 1.8189494
-11.2948902; -41.9159632; 11.9325756; 2.5024394; 0.5540820; 0.8324621; 0.1930639; 11.9945941; 0.9840858; 0.0000046; 54.2444907; 1.8072141
-13.7911281; -40.2543882; 11.9216237; 2.5073860; 0.5541249; 0.8324335; 0.1913180; 14.9932569; 0.9841047; 0.0000048; 54.3770688; 1.7840130
-16.2872859; -38.5926841; 11.8974043; 2.5226559; 0.5541663; 0.8324060; 0.1893775; 17.9919252; 0.9841143; 0.0000049; 54.4425988; 1.7725452
-18.7833668; -36.9308558; 11.8710347; 2.5439381; 0.5542060; 0.8323796; 0.1872470; 20.9905988; 0.9841342; 0.0000051; 54.5721661; 1.7498709
-21.2793739; -35.2689083; 11.8400475; 2.5520509; 0.5542441; 0.8323542; 0.1849312; 23.9892778; 0.9841444; 0.0000051; 54.6362133; 1.7386627
-23.7753103; -33.6068464; 11.7963930; 2.5398700; 0.5542806; 0.8323299; 0.1824347; 26.9879618; 0.9841654; 0.0000053; 54.7628589; 1.7164997
-26.2711790; -31.9446750; 11.7589690; 2.5332833; 0.5543154; 0.8323067; 0.1797622; 29.9866509; 0.9841761; 0.0000054; 54.8254668; 1.7055433
-28.7669833; -30.2823992; 11.7344388; 2.5256926; 0.5543487; 0.8322845; 0.1769183; 32.9853448; 0.9841981; 0.0000056; 54.9492762; 1.6838767
-31.2627262; -28.6200238; 11.7057172; 2.5472715; 0.5543803; 0.8322635; 0.1739076; 35.9840435; 0.9842093; 0.0000057; 55.0104867; 1.6731648
-33.7584108; -26.9575538; 11.6992213; 2.5647002; 0.5544103; 0.8322435; 0.1707348; 38.9827467; 0.9842324; 0.0000059; 55.1315419; 1.6519802
-36.2540403; -25.2949941; 11.7056737; 2.5683036; 0.5544387; 0.8322245; 0.1674045; 41.9814544; 0.9842442; 0.0000059; 55.1913953; 1.6415058
-38.7496178; -23.6323496; 11.7093301; 2.5656657; 0.5544655; 0.8322067; 0.1639214; 44.9801665; 0.9842683; 0.0000061; 55.3097752; 1.6207893
-41.2451464; -21.9696252; 11.7048251; 2.5663188; 0.5544907; 0.8321899; 0.1602900; 47.9788827; 0.9842806; 0.0000062; 55.3683101; 1.6105457
-43.7406291; -20.3068259; 11.7013081; 2.5527982; 0.5545142; 0.8321742; 0.1565151; 50.9776029; 0.9843058; 0.0000064; 55.4840904; 1.5902842
-46.2360692; -18.6439566; 11.6960755; 2.5509966; 0.5545362; 0.8321596; 0.1526012; 53.9763270; 0.9843186; 0.0000065; 55.5413439; 1.5802648
-48.7314697; -16.9810222; 11.6875881; 2.5445786; 0.5545565; 0.8321461; 0.1485530; 56.9750549; 0.9843448; 0.0000066; 55.6545974; 1.5604454
-51.2268337; -15.3180276; 11.6870189; 2.5568648; 0.5545752; 0.8321336; 0.1443752; 59.9737863; 0.9843582; 0.0000067; 55.7106053; 1.5506441
-53.7221644; -13.6549779; 11.6929709; 2.5768076; 0.5545922; 0.8321223; 0.1400723; 62.9725212; 0.9843855; 0.0000069; 55.8214022; 1.5312546
-56.2174649; -11.9918778; 11.7100955; 2.6053451; 0.5546077; 0.8321120; 0.1356490; 65.9712593; 0.9843994; 0.0000070; 55.8761988; 1.5216652
-58.7127382; -10.3287323; 11.7198297; 2.6198989; 0.5546215; 0.8321027; 0.1311100; 68.9700006; 0.9844277; 0.0000072; 55.9846065; 1.5026939
